Original Row ID,Orig Group,Photo description,id_count,id_or_filename
1,1,Description 1,id_1,image_name_1
2,1,Description 2,id_1,image_name_2
3,1,Description 3,id_1,image_name_3
4,1,Description 4,id_1,image_name_4
14,1,Description 5,id_1,image_name_5
15,1,Description 6,id_1,ABC12345
16,1,Description 7,id_1,Img_3886_2c
17,1,,id_1,Img_5268_019Ad
18,1,,id_1,Img_5269d_0928
26,1,,id_1,CSImg_40265
27,1,Description 8,id_1,Img_90799d_FMBL342w
29,1,Description 10,id_1,Img_90799d_FMBL344w
31,1,Description 12,id_1,CSImg_50750
32,1,Description 13,id_1,CSImg_44721
33,1,Description 14,id_1,Img_92640_034d
34,1,Description 15,id_1,Img_92545_001Ad
34,1,Description 15,id_2,Img_90862_20d
34,1,Description 15,id_3,Img_90846_173d
35,1,Description 16,id_1,Img_91345_006d
35,1,Description 16,id_2,Img_89695_16Ac
37,1,Description 18,id_1,Img_1525od_008
38,1,Description 19,id_1,Img_09984d
39,1,Description 20,id_1,Img_09984d
40,1,Description 21,id_1,Img_80300
41,1,Description 22,id_1,CSImg_40501
48,2,Description 23,id_1,Img_88799_1c
49,2,Description 24,id_1,Img_91704_012Ad
49,2,Description 24,id_2,Img_91704_156d
49,2,Description 24,id_3,CSA74981
50,3,Description 25,id_1,Img_92154_085d
50,3,Description 25,id_2,Img_92154_005d
50,3,Description 25,id_3,Img_92154_018d
50,3,Description 25,id_4,Img_92140_045Ad
50,3,Description 25,id_5,Img_92140_004Bd
50,3,Description 25,id_6,
51,3,Description 26,id_1,PS-10235_012A
51,3,Description 26,id_2,PS-10235_049A
51,3,Description 26,id_3,PS-10235_169A
51,3,Description 26,id_4,PS-10235_004A
51,3,Description 26,id_5,FM_NTopening_052022_0949.jpg
51,3,Description 26,id_6,FM_NTopening_052022_0333.jpg
51,3,Description 26,id_7,FM_NTopening_052022_1426.jpg
51,3,Description 26,id_8,FM_NTopening_052022_jy_05.jpg
52,3,Description 27,id_1,Img_90960_461d
52,3,Description 27,id_2,Img_90960_002Cd
52,3,Description 27,id_3,Img_90960_314d
53,3,Description 28,id_1,africa_exhibit_entrance.jpg
54,3,Description 29,id_1,Img_92363_014Ad
54,3,Description 29,id_2,Img_92363_035d
54,3,Description 29,id_3,Img_92363_055Ad
55,3,Description 30,id_1,Img_92073_003d
55,3,Description 30,id_2,Img_92073_008d
55,3,Description 30,id_3,Img_12648_1c
56,3,Description 31,id_1,Img_92068_004d
57,3,Description 32,id_1,Img_91343_109d
57,3,Description 32,id_2,Img_91343_075dImg_91343_071d
58,3,Description 33,id_1,Img_92330_070Ad
58,3,Description 33,id_2,Img_92335_087Ad
58,3,Description 33,id_3,Img_92335_173Ad
59,3,Description 34,id_1,IMG_7123.JPG
59,3,Description 34,id_2,IMG_7101.JPG
59,3,Description 34,id_3,Main Forecourt new.jpg
59,3,Description 34,id_4,Img_88790_78c
61,3,Description 36,id_1,Img_91520_5994d
61,3,Description 36,id_2,Img_91520_6003d
61,3,Description 36,id_3,Img_91520_6055dImg_87422_o8c
62,3,Description 37,id_1,Img_91735_106d
62,3,Description 37,id_2,Img_91735_124d
62,3,Description 37,id_3,Img_91735_210d
64,3,Description 39,id_1,Img_91686_171d
64,3,Description 39,id_2,Img_91063_001d.jpg
65,3,Description 40,id_1,Img_91522_6293d
65,3,Description 40,id_2,Img_91522_6307d
65,3,Description 40,id_3,Img_92061_007d
65,3,Description 40,id_4,Img_14854d_024B
65,3,Description 40,id_5,
66,3,Description 41,id_1,Img_91521_6096d
66,3,Description 41,id_2,Img_89104_5c
67,3,Description 42,id_1,Img_91948_383d
67,3,Description 42,id_2,Img_91948_240d
67,3,Description 42,id_3,Img_91948_282d
68,3,Description 43,id_1,Img_90698_08d
68,3,Description 43,id_2,Img_88138c
68,3,Description 43,id_3,
69,4,Description 44,id_1,Img_84925
70,4,Description 45,id_1,Img_85005
71,4,Description 46,id_1,Img_79754
72,4,Description 47,id_1,Img_4352c
