eluts_key,Name,Value000,Value010
1,"Audit Table","eaccessionlots","AcqAccessionNumbersAllocated"
2,"Audit Table","eaccessionlots","AcqAcquisitionIdentifier"
3,"Audit Table","eaccessionlots","AcqAcquisitionMethod"
4,"Audit Table","eaccessionlots","AcqAcquisitionRemarks"
5,"Audit Table","eaccessionlots","AcqAuthorisedByLocal"
6,"Audit Table","eaccessionlots","AcqAuthorisedByRef"
7,"Audit Table","eaccessionlots","AcqAuthorisedByRefLocal"
8,"Audit Table","eaccessionlots","AcqCreditLine"
9,"Audit Table","eaccessionlots","AcqDateAuthorised"
10,"Audit Table","eaccessionlots","AcqDateOwnership"
11,"Audit Table","eaccessionlots","AcqDateOwnershipLower"
12,"Audit Table","eaccessionlots","AcqDateOwnershipLowerOrig"
13,"Audit Table","eaccessionlots","AcqDateOwnershipUpper"
14,"Audit Table","eaccessionlots","AcqDateOwnershipUpperOrig"
15,"Audit Table","eaccessionlots","AcqDateReceived"
16,"Audit Table","eaccessionlots","AcqDateReceivedLower"
17,"Audit Table","eaccessionlots","AcqDateReceivedLowerOrig"
18,"Audit Table","eaccessionlots","AcqDateReceivedUpper"
19,"Audit Table","eaccessionlots","AcqDateReceivedUpperOrig"
20,"Audit Table","eaccessionlots","AcqFullNameLocal"
21,"Audit Table","eaccessionlots","AcqMeetingDate"
22,"Audit Table","eaccessionlots","AcqMeetingTitle"
23,"Audit Table","eaccessionlots","AcqPartyTypeLocal"
24,"Audit Table","eaccessionlots","AcqRestrictionsProvisosLocal"
25,"Audit Table","eaccessionlots","AcqRestrictionsProvisosRef_tab"
26,"Audit Table","eaccessionlots","AcqRestrictionsProvisosRefLocal"
27,"Audit Table","eaccessionlots","AcqSourceBriefLocal_tab"
28,"Audit Table","eaccessionlots","AcqSourceLocal_tab"
29,"Audit Table","eaccessionlots","AcqSourceRef_tab"
30,"Audit Table","eaccessionlots","AcqSourceRefLocal0"
31,"Audit Table","eaccessionlots","AcqSourceRole_tab"
32,"Audit Table","eaccessionlots","AdmDateInserted"
33,"Audit Table","eaccessionlots","AdmDateModified"
34,"Audit Table","eaccessionlots","AdmInsertedBy"
35,"Audit Table","eaccessionlots","AdmModifiedBy"
36,"Audit Table","eaccessionlots","AdmPublishWebNoPassword"
37,"Audit Table","eaccessionlots","AdmPublishWebNoPasswordFlag"
38,"Audit Table","eaccessionlots","AdmPublishWebPassword"
39,"Audit Table","eaccessionlots","AdmPublishWebPasswordFlag"
40,"Audit Table","eaccessionlots","AdmTimeInserted"
41,"Audit Table","eaccessionlots","AdmTimeModified"
42,"Audit Table","eaccessionlots","ExtendedData"
43,"Audit Table","eaccessionlots","irn"
44,"Audit Table","eaccessionlots","LotCollectionEventRef"
45,"Audit Table","eaccessionlots","LotCollectionEventRefLocal"
46,"Audit Table","eaccessionlots","LotCollEventExpeditionNameLocal"
47,"Audit Table","eaccessionlots","LotDepartment"
48,"Audit Table","eaccessionlots","LotDescription"
49,"Audit Table","eaccessionlots","LotInstitution"
50,"Audit Table","eaccessionlots","LotLotNumber"
51,"Audit Table","eaccessionlots","LotObjectType_tab"
52,"Audit Table","eaccessionlots","LotQuantity_tab"
53,"Audit Table","eaccessionlots","LotTotal"
54,"Audit Table","eaccessionlots","MulHasMultiMedia"
55,"Audit Table","eaccessionlots","MulMultiMediaRef_tab"
56,"Audit Table","eaccessionlots","NotNotes"
57,"Audit Table","eaccessionlots","PurActualPurchasePrice"
58,"Audit Table","eaccessionlots","PurAmount_tab"
59,"Audit Table","eaccessionlots","PurDateValued"
60,"Audit Table","eaccessionlots","PurFundRef_tab"
61,"Audit Table","eaccessionlots","PurInitialValuation"
62,"Audit Table","eaccessionlots","PurPurchaseNotes"
63,"Audit Table","eaccessionlots","PurPurchaseOrderNumber"
64,"Audit Table","eaccessionlots","PurPurchasePrice"
65,"Audit Table","eaccessionlots","PurValuedByRef"
66,"Audit Table","eaccessionlots","SecCanDelete_tab"
67,"Audit Table","eaccessionlots","SecCanDisplay_tab"
68,"Audit Table","eaccessionlots","SecCanEdit_tab"
69,"Audit Table","eaccessionlots","SecDepartment_tab"
70,"Audit Table","eaccessionlots","SecRecordStatus"
71,"Audit Table","eaccessionlots","SummaryData"
72,"Audit Table","eaccessionlots","SumNmnhControlledBy"
73,"Audit Table","eaccessionlots","TasCommencementDate0"
74,"Audit Table","eaccessionlots","TasCompleted_tab"
75,"Audit Table","eaccessionlots","TasCompletionDate0"
76,"Audit Table","eaccessionlots","TasDescription_tab"
77,"Audit Table","eaccessionlots","TasEndNotifyDate0"
78,"Audit Table","eaccessionlots","TasPersonAssignedToRef_nesttab"
79,"Audit Table","eaccessionlots","TasResults_tab"
80,"Audit Table","eaccessionlots","TasStartNotifyDate0"
81,"Audit Table","eaccessionlots","TasTaskAssignerRef_tab"
82,"Audit Table","eaccessionlots","TaxDateSubmitted"
83,"Audit Table","eaccessionlots","TaxReceiptValue"
84,"Audit Table","eaccessionlots","TaxTaxReceiptRequested"
85,"Audit Table","eaccessionlots",""
86,"Audit Table","ebibliography","AdmDateInserted"
87,"Audit Table","ebibliography","AdmDateModified"
88,"Audit Table","ebibliography","AdmGUIDIsPreferred_tab"
89,"Audit Table","ebibliography","AdmGUIDType_tab"
90,"Audit Table","ebibliography","AdmGUIDValue_tab"
91,"Audit Table","ebibliography","AdmImportIdentifier"
92,"Audit Table","ebibliography","AdmInsertedBy"
93,"Audit Table","ebibliography","AdmModifiedBy"
94,"Audit Table","ebibliography","AdmOriginalData"
95,"Audit Table","ebibliography","AdmPublishWebNoPassword"
96,"Audit Table","ebibliography","AdmPublishWebNoPasswordFlag"
97,"Audit Table","ebibliography","AdmPublishWebPassword"
98,"Audit Table","ebibliography","AdmPublishWebPasswordFlag"
99,"Audit Table","ebibliography","AdmSystemIdentifier"
100,"Audit Table","ebibliography","AdmTimeInserted"
101,"Audit Table","ebibliography","AdmTimeModified"
102,"Audit Table","ebibliography","AdmWebMetadata"
103,"Audit Table","ebibliography","AerFilled"
104,"Audit Table","ebibliography","ArcAuthorsLocal_tab"
105,"Audit Table","ebibliography","ArcAuthorsRef_tab"
106,"Audit Table","ebibliography","ArcAuthorsRefLocal0"
107,"Audit Table","ebibliography","ArcFilled"
108,"Audit Table","ebibliography","ArcLocationLocal"
109,"Audit Table","ebibliography","ArcLocationRef"
110,"Audit Table","ebibliography","ArcLocationRefLocal0"
111,"Audit Table","ebibliography","ArcPublicationLanguage"
112,"Audit Table","ebibliography","ArcResourceDate"
113,"Audit Table","ebibliography","ArcResourceType"
114,"Audit Table","ebibliography","ArcRole_tab"
115,"Audit Table","ebibliography","ArcTitle"
116,"Audit Table","ebibliography","ArtAuthorsEtAl"
117,"Audit Table","ebibliography","ArtAuthorsFullNameLocal_tab"
118,"Audit Table","ebibliography","ArtAuthorsLocal_tab"
119,"Audit Table","ebibliography","ArtAuthorsRef_tab"
120,"Audit Table","ebibliography","ArtAuthorsRefLocal0"
121,"Audit Table","ebibliography","ArtFiguresPlates"
122,"Audit Table","ebibliography","ArtFilled"
123,"Audit Table","ebibliography","ArtIssue"
124,"Audit Table","ebibliography","ArtIssuePages"
125,"Audit Table","ebibliography","ArtPages"
126,"Audit Table","ebibliography","ArtPagesFlag"
127,"Audit Table","ebibliography","ArtParentLocal"
128,"Audit Table","ebibliography","ArtParentRef"
129,"Audit Table","ebibliography","ArtPublicationDate"
130,"Audit Table","ebibliography","ArtPublicationDates"
131,"Audit Table","ebibliography","ArtPublicationLanguage"
132,"Audit Table","ebibliography","ArtRole_tab"
133,"Audit Table","ebibliography","ArtSourceRef"
134,"Audit Table","ebibliography","ArtSourceRefLocal"
135,"Audit Table","ebibliography","ArtTitle"
136,"Audit Table","ebibliography","ArtVolume"
137,"Audit Table","ebibliography","AucFilled"
138,"Audit Table","ebibliography","BibAbbreviatedTitle"
139,"Audit Table","ebibliography","BibAbbreviatedTitleSource"
140,"Audit Table","ebibliography","BibAuthors_tab"
141,"Audit Table","ebibliography","BibAuthorsEtAl"
142,"Audit Table","ebibliography","BibCitingText"
143,"Audit Table","ebibliography","BibEdition"
144,"Audit Table","ebibliography","BibFiguresPlates"
145,"Audit Table","ebibliography","BibFormat"
146,"Audit Table","ebibliography","BibISBN"
147,"Audit Table","ebibliography","BibISSN"
148,"Audit Table","ebibliography","BibIssue"
149,"Audit Table","ebibliography","BibIssuePages"
150,"Audit Table","ebibliography","BibLastAccessDate"
151,"Audit Table","ebibliography","BibLocation"
152,"Audit Table","ebibliography","BibOrganisation"
153,"Audit Table","ebibliography","BibPages"
154,"Audit Table","ebibliography","BibPagesFlag"
155,"Audit Table","ebibliography","BibParentageRef_tab"
156,"Audit Table","ebibliography","BibParentRef"
157,"Audit Table","ebibliography","BibProducedBy"
158,"Audit Table","ebibliography","BibProductionPlace"
159,"Audit Table","ebibliography","BibPublicationCity"
160,"Audit Table","ebibliography","BibPublicationDate"
161,"Audit Table","ebibliography","BibPublicationDates"
162,"Audit Table","ebibliography","BibPublishedBy"
163,"Audit Table","ebibliography","BibRecordType"
164,"Audit Table","ebibliography","BibReference"
165,"Audit Table","ebibliography","BibReferenceType"
166,"Audit Table","ebibliography","BibRefType_tab"
167,"Audit Table","ebibliography","BibRefValue_tab"
168,"Audit Table","ebibliography","BibResourceType"
169,"Audit Table","ebibliography","BibRole_tab"
170,"Audit Table","ebibliography","BibScale"
171,"Audit Table","ebibliography","BibThesisType"
172,"Audit Table","ebibliography","BibTitle"
173,"Audit Table","ebibliography","BibTypeCode"
174,"Audit Table","ebibliography","BibVolume"
175,"Audit Table","ebibliography","BooAbbreviatedTitle"
176,"Audit Table","ebibliography","BooAbbreviatedTitleSource"
177,"Audit Table","ebibliography","BooAuthorsEtAl"
178,"Audit Table","ebibliography","BooAuthorsFullNameLocal_tab"
179,"Audit Table","ebibliography","BooAuthorsLocal_tab"
180,"Audit Table","ebibliography","BooAuthorsRef_tab"
181,"Audit Table","ebibliography","BooAuthorsRefLocal0"
182,"Audit Table","ebibliography","BooEdition"
183,"Audit Table","ebibliography","BooFiguresPlates"
184,"Audit Table","ebibliography","BooFilled"
185,"Audit Table","ebibliography","BooISBN"
186,"Audit Table","ebibliography","BooPages"
187,"Audit Table","ebibliography","BooParentRef"
188,"Audit Table","ebibliography","BooPublicationCity"
189,"Audit Table","ebibliography","BooPublicationDate"
190,"Audit Table","ebibliography","BooPublicationDates"
191,"Audit Table","ebibliography","BooPublicationLanguage"
192,"Audit Table","ebibliography","BooPublishedByLocal"
193,"Audit Table","ebibliography","BooPublishedByRef"
194,"Audit Table","ebibliography","BooPublishedByRefLocal"
195,"Audit Table","ebibliography","BooRole_tab"
196,"Audit Table","ebibliography","BooSourceRef"
197,"Audit Table","ebibliography","BooSourceRefLocal"
198,"Audit Table","ebibliography","BooTitle"
199,"Audit Table","ebibliography","BooVolume"
200,"Audit Table","ebibliography","BosAbbreviatedTitle"
201,"Audit Table","ebibliography","BosAuthorsLocal_tab"
202,"Audit Table","ebibliography","BosAuthorsRef_tab"
203,"Audit Table","ebibliography","BosAuthorsRefLocal0"
204,"Audit Table","ebibliography","BosFilled"
205,"Audit Table","ebibliography","BosISBN"
206,"Audit Table","ebibliography","BosPages"
207,"Audit Table","ebibliography","BosParentRef"
208,"Audit Table","ebibliography","BosPublicationCity"
209,"Audit Table","ebibliography","BosPublicationDates"
210,"Audit Table","ebibliography","BosPublicationLanguage"
211,"Audit Table","ebibliography","BosPublishedByLocal"
212,"Audit Table","ebibliography","BosPublishedByRef"
213,"Audit Table","ebibliography","BosPublishedByRefLocal"
214,"Audit Table","ebibliography","BosRole_tab"
215,"Audit Table","ebibliography","BosSourceRef"
216,"Audit Table","ebibliography","BosSourceRefLocal"
217,"Audit Table","ebibliography","BosTitle"
218,"Audit Table","ebibliography","BosVolumeRange"
219,"Audit Table","ebibliography","BucAbbreviatedTitle_tab"
220,"Audit Table","ebibliography","BucAbbreviatedTitleSource_tab"
221,"Audit Table","ebibliography","BucAuthorsLocal_tab"
222,"Audit Table","ebibliography","BucAuthorsRef_tab"
223,"Audit Table","ebibliography","BucEdition_tab"
